Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1976-09-01 00:00:00;1995-10-31 23:59:59;1.0;59.2998;18.7052
1995-11-01 00:00:00;2014-03-31 23:59:59;16.0;59.2996;18.7047
2015-02-03 13:00:00;2023-03-06 09:00:00;19.287;59.3446;18.7404

Datum;Tid (UTC);Vindriktning;Kvalitet;Vindhastighet;Kvalitet;;Tidsutsnitt:
2023-02-05;00:00:00;249;G;2.4;G
2023-02-05;01:00:00;246;G;2.6;G
2023-02-05;02:00:00;240;G;2.3;G
2023-02-05;03:00:00;231;G;3.3;G
2023-02-05;04:00:00;239;G;3.6;G
2023-02-05;05:00:00;231;G;4.4;G
2023-02-05;06:00:00;233;G;3.9;G
2023-02-05;07:00:00;233;G;4.6;G
2023-02-05;08:00:00;243;G;3.8;G
2023-02-05;09:00:00;249;G;3.8;G
2023-02-05;10:00:00;260;G;4.2;G
2023-02-05;11:00:00;267;G;4.5;G
2023-02-05;12:00:00;267;G;4.7;G
2023-02-05;13:00:00;274;G;5.1;G
2023-02-05;14:00:00;278;G;5.5;G
2023-02-05;15:00:00;263;G;4.8;G
2023-02-05;16:00:00;283;G;4.4;G
2023-02-05;17:00:00;276;G;4.5;G
2023-02-05;18:00:00;276;G;4.2;G
2023-02-05;19:00:00;276;G;4.4;G
2023-02-05;20:00:00;280;G;4.5;G
2023-02-05;21:00:00;282;G;4.5;G
2023-02-05;22:00:00;282;G;4.6;G
2023-02-05;23:00:00;290;G;4.8;G
2023-02-06;00:00:00;292;G;4.4;G
2023-02-06;01:00:00;287;G;3.2;G
2023-02-06;02:00:00;292;G;3.7;G
2023-02-06;03:00:00;292;G;2.7;G
2023-02-06;04:00:00;299;G;2.8;G
2023-02-06;05:00:00;300;G;2.9;G
2023-02-06;06:00:00;299;G;3.0;G
2023-02-06;07:00:00;301;G;2.5;G
2023-02-06;08:00:00;296;G;2.9;G
2023-02-06;09:00:00;313;G;1.7;G
2023-02-06;10:00:00;308;G;2.3;G
2023-02-06;11:00:00;302;G;1.4;G
2023-02-06;12:00:00;295;G;2.1;G
2023-02-06;13:00:00;274;G;2.4;G
2023-02-06;14:00:00;247;G;2.2;G
2023-02-06;15:00:00;250;G;1.7;G
2023-02-06;16:00:00;273;G;3.1;G
2023-02-06;17:00:00;264;G;2.7;G
2023-02-06;18:00:00;249;G;2.0;G
2023-02-06;19:00:00;223;G;1.8;G
2023-02-06;20:00:00;235;G;1.9;G
2023-02-06;21:00:00;251;G;2.1;G
2023-02-06;22:00:00;247;G;2.7;G
2023-02-06;23:00:00;236;G;2.5;G
