Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Helsingborg A;62040;SMHIs stationsnät;10.0

Parameternamn;Beskrivning;Enhet
Vindriktning;medelvärde 10 min, 1 gång/tim;degree true
Vindhastighet;medelvärde 10 min, 1 gång/tim;metre per second

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-08-01 00:00:00;2023-03-06 10:00:00;43.07;56.0304;12.7628

Datum;Tid (UTC);Vindriktning;Kvalitet;Vindhastighet;Kvalitet;;Tidsutsnitt:
2023-02-17;00:00:00;175;G;2.8;G
2023-02-17;01:00:00;177;G;3.8;G
2023-02-17;02:00:00;172;G;3.6;G
2023-02-17;03:00:00;169;G;3.2;G
2023-02-17;04:00:00;172;G;4.5;G
2023-02-17;05:00:00;174;G;4.7;G
2023-02-17;06:00:00;177;G;4.6;G
2023-02-17;07:00:00;179;G;5.1;G
2023-02-17;08:00:00;178;G;5.6;G
2023-02-17;09:00:00;178;G;5.9;G
2023-02-17;10:00:00;174;G;5.6;G
2023-02-17;11:00:00;200;G;5.2;G
2023-02-17;12:00:00;221;G;4.6;G
2023-02-17;13:00:00;228;G;6.0;G
2023-02-17;14:00:00;228;G;5.6;G
2023-02-17;15:00:00;239;G;7.0;G
2023-02-17;16:00:00;247;G;9.7;G
2023-02-17;17:00:00;245;G;11.2;G
2023-02-17;18:00:00;245;G;11.7;G
2023-02-17;19:00:00;256;G;11.7;G
2023-02-17;20:00:00;259;G;10.5;G
2023-02-17;21:00:00;274;G;11.3;G
2023-02-17;22:00:00;271;G;10.0;G
2023-02-17;23:00:00;284;G;10.2;G
2023-02-18;00:00:00;282;G;9.4;G
2023-02-18;01:00:00;287;G;8.7;G
2023-02-18;02:00:00;290;G;9.9;G
2023-02-18;03:00:00;284;G;9.0;G
2023-02-18;04:00:00;283;G;8.4;G
2023-02-18;05:00:00;285;G;7.5;G
2023-02-18;06:00:00;279;G;6.6;G
2023-02-18;07:00:00;275;G;5.6;G
2023-02-18;08:00:00;274;G;4.7;G
2023-02-18;09:00:00;276;G;5.8;G
2023-02-18;10:00:00;286;G;6.1;G
2023-02-18;11:00:00;284;G;5.8;G
2023-02-18;12:00:00;290;G;7.0;G
2023-02-18;13:00:00;291;G;6.1;G
2023-02-18;14:00:00;290;G;5.6;G
2023-02-18;15:00:00;292;G;5.0;G
2023-02-18;16:00:00;294;G;5.5;G
2023-02-18;17:00:00;291;G;4.5;G
2023-02-18;18:00:00;292;G;5.1;G
2023-02-18;19:00:00;292;G;4.7;G
2023-02-18;20:00:00;275;G;3.9;G
2023-02-18;21:00:00;286;G;4.2;G
2023-02-18;22:00:00;288;G;3.8;G
2023-02-18;23:00:00;290;G;4.7;G
