Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Skarpö A;98160;SMHIs stationsnät;10.0

Parameternamn;Beskrivning;Enhet
Vindriktning;medelvärde 10 min, 1 gång/tim;degree true
Vindhastighet;medelvärde 10 min, 1 gång/tim;metre per second

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1976-09-01 00:00:00;1995-10-31 23:59:59;1.0;59.2998;18.7052
1995-11-01 00:00:00;2014-03-31 23:59:59;16.0;59.2996;18.7047
2015-02-03 13:00:00;2023-03-06 09:00:00;19.287;59.3446;18.7404

Datum;Tid (UTC);Vindriktning;Kvalitet;Vindhastighet;Kvalitet;;Tidsutsnitt:
2023-03-01;03:00:00;302;G;1.8;G
2023-03-01;04:00:00;290;G;2.6;G
2023-03-01;05:00:00;292;G;2.5;G
2023-03-01;06:00:00;291;G;3.0;G
2023-03-01;07:00:00;297;G;3.0;G
2023-03-01;08:00:00;301;G;2.6;G
2023-03-01;09:00:00;292;G;3.7;G
2023-03-01;10:00:00;297;G;3.2;G
2023-03-01;11:00:00;294;G;3.8;G
2023-03-01;12:00:00;289;G;4.3;G
2023-03-01;13:00:00;291;G;2.2;G
2023-03-01;14:00:00;291;G;2.9;G
2023-03-01;15:00:00;294;G;2.7;G
2023-03-01;16:00:00;292;G;2.4;G
2023-03-01;17:00:00;282;G;2.3;G
2023-03-01;18:00:00;285;G;2.4;G
2023-03-01;19:00:00;290;G;2.4;G
2023-03-01;20:00:00;307;G;2.4;G
2023-03-01;21:00:00;296;G;2.9;G
2023-03-01;22:00:00;295;G;2.5;G
2023-03-01;23:00:00;296;G;2.8;G
2023-03-02;00:00:00;305;G;2.9;G
2023-03-02;01:00:00;295;G;2.5;G
2023-03-02;02:00:00;293;G;2.8;G
2023-03-02;03:00:00;296;G;2.5;G
2023-03-02;04:00:00;279;G;3.3;G
2023-03-02;05:00:00;285;G;4.0;G
2023-03-02;06:00:00;290;G;3.6;G
2023-03-02;07:00:00;286;G;3.6;G
2023-03-02;08:00:00;282;G;3.8;G
2023-03-02;09:00:00;282;G;3.2;G
2023-03-02;10:00:00;267;G;4.3;G
2023-03-02;11:00:00;272;G;5.1;G
2023-03-02;12:00:00;274;G;4.6;G
2023-03-02;13:00:00;273;G;4.9;G
2023-03-02;14:00:00;277;G;3.5;G
2023-03-02;15:00:00;273;G;3.7;G
2023-03-02;16:00:00;287;G;2.9;G
2023-03-02;17:00:00;301;G;3.3;G
2023-03-02;18:00:00;282;G;3.3;G
2023-03-02;19:00:00;301;G;3.8;G
2023-03-02;20:00:00;297;G;4.1;G
2023-03-02;21:00:00;296;G;4.2;G
2023-03-02;22:00:00;291;G;4.9;G
2023-03-02;23:00:00;297;G;4.9;G
